IFM,Union,Division,Industry,Day_Porter,Custodial,Cleanroom,GMP,Lab,MAC,Maintenance,Landscaping,Recycle,Other,Service_Days,Service_Model,SOW_Type,Trash_Freq,Vacuum_Freq,Restroom_Freq,SOW_Intensity_Range,Account_Size,Total_Supervision_Ratio,Labor_Cost_Score,CSAT,Turnover,Floor_Tech_FTE,CSR_FTE,Lead_FTE,Salary_EE_Count,Hourly_Burden,Mgmt_Burden,Total_Burden,Mobile,Price
4,0,5,2,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,6,3,5,0,2.1,0.5,0,1,0.25,0.24,0.25,0,0.242
1,0,7,1,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,2,3.25,0.585,1.9,3.1,0,0,0.21,0,0.21,0,0.235
1,1,17,2,1,1,0,0,0,0,0,0,0,0,5,1,2,4,1,2,2,2,6,5,4.75,0,0,0.8,1,0,0.49,0,0.49,0,0.137
5,0,13,2,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,2,4,0,0.4,0.3,1,1,0.32,0.34,0.33,0,0.142
4,0,10,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0.27,0,0.27,0,0.141
3,1,5,10,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,0,7,4,0.212,0,0.9,0,0,0.78,0,0.78,0,0.125
1,0,7,3,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,2,4,0.4,0,0,0,0,0.18,0,0.18,0,0.136
5,0,10,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,4,0,0,0,0,2,0.47,0,0.47,0,0.103
4,0,1,7,1,1,0,1,0,0,0,0,0,0,5,0,1,4,2,1,1,2,17,4,4,0,0,1.5,0.2,0,0.39,0,0.39,0,0.205
5,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,4,0,0,0,0,2,0.51,0,0.51,0,0.127
3,0,3,10,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,3,3,4.75,0.671,0,0,1.4,1,0.23,0.19,0.22,0,0.151
5,0,1,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,5,2,4,0,0.3,0,0,1,0.15,0.15,0.15,0,0.112
1,1,1,6,1,1,0,0,0,0,0,0,0,0,5,1,2,4,2,2,2,2,0,10,4.75,0,0,0.5,0,0,0.47,0,0.47,0,0.239
1,1,16,1,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,6,4.75,0,1.4,0,0,0,0.55,0,0.55,0,0.102
5,0,7,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,5,2,4.5,0.629,0,0,1.3,0,0.21,0,0.21,0,0.161
4,0,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0.2
4,0,17,2,1,1,0,0,0,0,0,0,0,0,5,3,2,4,1,3,2,2,5,4,5,0,0,3.6,0,1,0.32,0.32,0.32,0,0.109
4,0,3,6,1,1,0,0,0,0,0,0,0,0,5,0,2,4,2,1,1,2,6,2,4,0.952,0,1,1,0,0.1,0,0.1,0,0.182
5,0,13,12,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,3,2,3.5,0.32,0,1,0.8,1,0.24,0.24,0.24,0,0.157
4,1,2,2,1,1,0,0,0,0,0,0,0,0,5,3,1,4,5,1,1,2,0,4,5,0,0,1.1,0,0,0.29,0,0.29,0,0.177
4,0,5,7,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,10,2,4,0,1.2,2.2,0.8,0,0.16,0,0.16,0,0.177
3,0,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0.1
5,0,5,2,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,2,5,0.428,0,0,0,0,0.23,0,0.23,0,0.199
5,0,13,3,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,5,2,4.25,0,0,0,0.8,0,0.29,0.34,0.3,0,0.172
1,1,16,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,7,5,0,0,2,0,0,0.57,0,0.57,0,0.194
5,0,14,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0.13,0.09,0.14,0,0.104
5,1,5,6,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,5,4.75,0,0,1,0,0,0.47,0,0.47,0,0.148
1,0,6,1,0,1,0,0,0,0,0,0,0,0,5,1,2,2,5,1,1,2,5,1,5,0.164,0,0,0,1,0.33,0.34,0.33,0,0.134
4,0,5,7,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,3,4,0,0,0,1,0,0.15,0,0.15,0,0.187
4,0,9,5,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,2,4.5,0,0,3.4,0,0,0.19,0,0.19,0,0.22
1,1,1,2,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,10,4,0,0,0,0,0,0.79,0,0.79,0,0.25
1,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,4,0,0,0,0,1,0.23,0,0.23,0,0.166
1,1,17,2,1,1,0,0,0,0,0,0,0,0,5,1,2,4,1,2,2,2,0,7,4.75,0,0,0.8,0,0,0.85,0,0.85,0,0.236
